#
# Hot Jupiter host, period [d]
,20.364173992603245
#
# Hot Jupiter host, T(first periastron)
,16.98028563167116
#
# Intrinsic flare time series, lambda(Poisson) [d^-1]
,1.4910584639294595
#
# Intrinsic flare time series, start [d], finish [d], cadence [h^-1]
,0.0,61.74709263958233,2
source,peak_time
intrinsic,1.2082764416652414
intrinsic,1.291605851435258
intrinsic,1.6040911380728204
intrinsic,1.8332470149403661
intrinsic,2.3123911211179617
intrinsic,3.10402051393312
intrinsic,3.2915116859156575
intrinsic,3.3331763908006655
intrinsic,3.8123204969782614
intrinsic,3.9581469640757905
intrinsic,4.499788127580898
intrinsic,5.541405749706106
intrinsic,5.791393979016156
intrinsic,6.291370437636257
intrinsic,6.333035142521265
intrinsic,6.666352781601331
intrinsic,7.728802756169044
intrinsic,8.499599796541697
intrinsic,9.603714475994417
intrinsic,11.27030267139475
intrinsic,12.874393809467572
intrinsic,12.91605851435258
intrinsic,13.436867325415184
intrinsic,14.041005546247805
intrinsic,14.22849671823034
intrinsic,15.395108455010574
intrinsic,15.457605512338088
intrinsic,15.707593741648136
intrinsic,15.749258446533146
intrinsic,17.499176051703493
intrinsic,20.374040688769067
intrinsic,21.311496548681756
intrinsic,21.58231713043431
intrinsic,22.248952408594445
intrinsic,22.68643180988703
intrinsic,23.644720022242222
intrinsic,24.269690595517346
intrinsic,24.665505291924926
intrinsic,25.561296446952603
intrinsic,25.957111143360184
intrinsic,26.061272905572704
intrinsic,26.186267020227728
intrinsic,27.89451992051307
intrinsic,28.019514035168097
intrinsic,28.102843444938113
intrinsic,29.623605173240914
intrinsic,29.89442575499347
intrinsic,30.269408098958547
intrinsic,30.39440221361357
intrinsic,32.35264334320896
intrinsic,32.45680510542148
intrinsic,33.24843449823664
intrinsic,35.70665208645213
intrinsic,35.78998149622215
intrinsic,36.68577265124983
intrinsic,37.81071968314505
intrinsic,37.91488144535757
intrinsic,39.873122574952966
intrinsic,40.76891372998064
intrinsic,40.91474019707817
intrinsic,40.977237254405686
intrinsic,41.41471665569827
intrinsic,42.24801075339844
intrinsic,43.39379013773617
intrinsic,45.352031267331554
intrinsic,46.16449301258922
intrinsic,46.76863123342184
intrinsic,48.93519588744227
intrinsic,50.643448787727614
intrinsic,50.76844290238264
intrinsic,51.41424582810027
intrinsic,53.72663694921823
intrinsic,54.95574574332598
intrinsic,56.01819571789369
intrinsic,56.309848652088746
intrinsic,58.247257429241635
intrinsic,58.26808978168414
intrinsic,59.122216231826805
intrinsic,59.64302504288941
intrinsic,59.913845624641965
intrinsic,60.851301484554654
intrinsic,61.1012897138647
