#
# Hot Jupiter host, period [d]
,7.890998269509713
#
# Hot Jupiter host, T(first periastron)
,1.6520165300563967
#
# Intrinsic flare time series, lambda(Poisson) [d^-1]
,2.2672667840568828
#
# Intrinsic flare time series, start [d], finish [d], cadence [h^-1]
,0.0,37.35580074297288,2
source,peak_time
intrinsic,0.7083643197217391
intrinsic,1.6875738205135546
intrinsic,1.916750512188235
intrinsic,2.5001093637237846
intrinsic,2.8334572788869563
intrinsic,3.333479151631713
intrinsic,4.271020163028132
intrinsic,5.583577578983119
intrinsic,6.666958303263426
intrinsic,7.500328091171355
intrinsic,8.208692410893093
intrinsic,8.292029389683886
intrinsic,8.646211549544756
intrinsic,8.979559464707927
intrinsic,9.208736156382606
intrinsic,9.583752560941175
intrinsic,10.833807242803067
intrinsic,10.937978466291558
intrinsic,11.771348254199486
intrinsic,11.917187967083374
intrinsic,13.188076893642965
intrinsic,13.70893301108542
intrinsic,13.9381097027601
intrinsic,14.542302798993347
intrinsic,14.875650714156519
intrinsic,14.938153448249613
intrinsic,15.771523236157542
intrinsic,15.854860214948335
intrinsic,15.896528704343732
intrinsic,16.542390289972374
intrinsic,16.604893024065472
intrinsic,17.209086120298718
intrinsic,17.729942237741174
intrinsic,19.18833936658005
intrinsic,19.52168728174322
intrinsic,19.688361239324806
intrinsic,19.792532462813295
intrinsic,19.938372175697182
intrinsic,21.896791177280814
intrinsic,22.021796645467003
intrinsic,22.250973337141684
intrinsic,22.730160965188745
intrinsic,23.251017082631197
intrinsic,23.271851327328896
intrinsic,23.313519816724295
intrinsic,23.438525284910483
intrinsic,24.3969005410046
intrinsic,25.042762126633246
intrinsic,25.43861277588951
intrinsic,26.00113738272736
intrinsic,26.25114831909974
intrinsic,26.39698803198363
intrinsic,28.376241278264956
intrinsic,29.37628502375447
intrinsic,29.667964449522245
intrinsic,30.022146609383114
intrinsic,30.75134517380255
intrinsic,31.272201291245008
intrinsic,32.20974230264143
intrinsic,32.230576547339126
intrinsic,33.251454537526335
intrinsic,33.33479151631713
intrinsic,34.647348932272116
intrinsic,34.79318864515601
intrinsic,35.126536560319174
intrinsic,35.41821598608695
intrinsic,35.939072103529405
intrinsic,36.06407757171559
intrinsic,36.12658030580869
intrinsic,36.209917284599484
intrinsic,36.45992822097186
intrinsic,36.64743642325114
intrinsic,36.73077340204194
