#
# Hot Jupiter host, period [d]
,3.3676230004627823
#
# Hot Jupiter host, T(first periastron)
,1.7541754512707142
#
# Intrinsic flare time series, lambda(Poisson) [d^-1]
,3.9694535280896317
#
# Intrinsic flare time series, start [d], finish [d], cadence [h^-1]
,0.0,73.6607376300048,2
source,peak_time
intrinsic,0.04166331313914299
intrinsic,0.6041180405175733
intrinsic,0.7499396365045738
intrinsic,0.8540979193524313
intrinsic,2.187323939805007
intrinsic,2.2914822226528644
intrinsic,2.520630444918151
intrinsic,2.6872836974747227
intrinsic,3.333065051131439
intrinsic,4.249657940192585
intrinsic,4.332984566470871
intrinsic,4.791281011001444
intrinsic,4.853775980710158
intrinsic,5.957853778897447
intrinsic,6.457813536567163
intrinsic,6.6869617588324495
intrinsic,6.957773294236879
intrinsic,7.186921516502165
intrinsic,7.416069738767452
intrinsic,7.4993963650457385
intrinsic,7.52022802161531
intrinsic,7.624386304463167
intrinsic,7.645217961032738
intrinsic,7.749376243880596
intrinsic,8.103514405563311
intrinsic,8.436820910676456
intrinsic,8.624305819802599
intrinsic,8.79095907235917
intrinsic,8.957612324915743
intrinsic,9.020107294624458
intrinsic,9.415908769446316
intrinsic,9.520067052294173
intrinsic,10.04085846653346
intrinsic,10.33250165850746
intrinsic,10.353333315077032
intrinsic,10.374164971646604
intrinsic,10.624144850481462
intrinsic,10.790798103038034
intrinsic,10.853293072746748
intrinsic,11.082441295012035
intrinsic,11.103272951581607
intrinsic,11.165767921290321
intrinsic,11.332421173846893
intrinsic,12.103192466921039
intrinsic,12.12402412349061
intrinsic,12.144855780060182
intrinsic,12.207350749768896
intrinsic,12.54065725488204
intrinsic,12.561488911451612
intrinsic,12.978122042843042
intrinsic,13.39475517423447
intrinsic,13.436418487373613
intrinsic,13.894714931904186
intrinsic,14.08219984103033
intrinsic,14.165526467308617
intrinsic,14.811307820965332
intrinsic,14.852971134104475
intrinsic,15.227940952356763
intrinsic,15.33209923520462
intrinsic,15.519584144330764
intrinsic,15.582079114039479
intrinsic,15.623742427178621
intrinsic,15.686237396887336
intrinsic,16.102870528278764
intrinsic,16.248692124265766
intrinsic,16.977800104200767
intrinsic,18.102709558957628
intrinsic,18.165204528666344
intrinsic,18.436016064070774
intrinsic,18.998470791449204
intrinsic,19.685915458245063
intrinsic,19.76924208452335
intrinsic,19.956726993649493
intrinsic,20.20670687248435
intrinsic,20.706666630154064
intrinsic,21.06080479183678
intrinsic,21.248289700962925
intrinsic,21.394111296949927
intrinsic,21.78991277177178
intrinsic,21.914902711189214
intrinsic,22.68567400426336
intrinsic,22.706505660832928
intrinsic,23.206465418502646
intrinsic,23.268960388211358
intrinsic,23.435613640767933
intrinsic,23.602266893324504
intrinsic,24.08139499442465
intrinsic,24.14388996413336
intrinsic,24.477196469246508
intrinsic,24.727176348081365
intrinsic,24.83133463092922
intrinsic,25.22713610575108
intrinsic,25.331294388598938
intrinsic,25.602105924003368
intrinsic,25.622937580572938
intrinsic,25.977075742255654
intrinsic,26.06040236853394
intrinsic,26.102065681673082
intrinsic,26.456203843355798
intrinsic,26.47703549992537
intrinsic,26.539530469634084
intrinsic,27.0394902273038
intrinsic,27.081153540442944
intrinsic,27.268638449569085
